command started at 2026-03-09 04:32:43+00:00, finished at 2026-03-09 04:32:53+00:00 with exitcode=0
LAST SEEN   TYPE      REASON      OBJECT                                     MESSAGE
26m         Normal    Scheduled   pod/arc-heavy-runners-mlqbj-runner-268d8   Successfully assigned arc-runners/arc-heavy-runners-mlqbj-runner-268d8 to aks-heavy-22317745-vmss000002
26m         Normal    Pulling     pod/arc-heavy-runners-mlqbj-runner-268d8   Pulling image "ghcr.io/actions/actions-runner:latest"
26m         Normal    Pulled      pod/arc-heavy-runners-mlqbj-runner-268d8   Successfully pulled image "ghcr.io/actions/actions-runner:latest" in 100ms (100ms including waiting). Image size: 540108575 bytes.
26m         Normal    Started     pod/arc-heavy-runners-mlqbj-runner-268d8   Started container runner
39m         Normal    Scheduled   pod/arc-heavy-runners-mlqbj-runner-26dxj   Successfully assigned arc-runners/arc-heavy-runners-mlqbj-runner-26dxj to aks-heavy-22317745-vmss000002
39m         Normal    Pulling     pod/arc-heavy-runners-mlqbj-runner-26dxj   Pulling image "ghcr.io/actions/actions-runner:latest"
39m         Normal    Pulled      pod/arc-heavy-runners-mlqbj-runner-26dxj   Successfully pulled image "ghcr.io/actions/actions-runner:latest" in 85ms (85ms including waiting). Image size: 540108575 bytes.
19m         Normal    Scheduled   pod/arc-heavy-runners-mlqbj-runner-26hqp   Successfully assigned arc-runners/arc-heavy-runners-mlqbj-runner-26hqp to aks-heavy-22317745-vmss000002
19m         Normal    Pulling     pod/arc-heavy-runners-mlqbj-runner-26hqp   Pulling image "ghcr.io/actions/actions-runner:latest"
19m         Normal    Pulled      pod/arc-heavy-runners-mlqbj-runner-26hqp   Successfully pulled image "ghcr.io/actions/actions-runner:latest" in 113ms (113ms including waiting). Image size: 540108575 bytes.
19m         Normal    Created     pod/arc-heavy-runners-mlqbj-runner-26hqp   Created container: runner
19m         Normal    Started     pod/arc-heavy-runners-mlqbj-runner-26hqp   Started container runner
3m1s        Normal    Scheduled   pod/arc-heavy-runners-mlqbj-runner-26krl   Successfully assigned arc-runners/arc-heavy-runners-mlqbj-runner-26krl to aks-heavy-22317745-vmss000002
50m         Normal    Scheduled   pod/arc-heavy-runners-mlqbj-runner-26pqw   Successfully assigned arc-runners/arc-heavy-runners-mlqbj-runner-26pqw to aks-heavy-22317745-vmss000002
50m         Normal    Pulling     pod/arc-heavy-runners-mlqbj-runner-26pqw   Pulling image "ghcr.io/actions/actions-runner:latest"
50m         Normal    Pulled      pod/arc-heavy-runners-mlqbj-runner-26pqw   Successfully pulled image "ghcr.io/actions/actions-runner:latest" in 94ms (94ms including waiting). Image size: 540108575 bytes.
55m         Normal    Scheduled   pod/arc-heavy-runners-mlqbj-runner-2748p   Successfully assigned arc-runners/arc-heavy-runners-mlqbj-runner-2748p to aks-heavy-22317745-vmss000002
55m         Normal    Pulling     pod/arc-heavy-runners-mlqbj-runner-2748p   Pulling image "ghcr.io/actions/actions-runner:latest"
55m         Normal    Started     pod/arc-heavy-runners-mlqbj-runner-2748p   Started container runner
14m         Normal    Scheduled   pod/arc-heavy-runners-mlqbj-runner-277dq   Successfully assigned arc-runners/arc-heavy-runners-mlqbj-runner-277dq to aks-heavy-22317745-vmss000002
14m         Normal    Pulling     pod/arc-heavy-runners-mlqbj-runner-277dq   Pulling image "ghcr.io/actions/actions-runner:latest"
44m         Normal    Scheduled   pod/arc-heavy-runners-mlqbj-runner-277w5   Successfully assigned arc-runners/arc-heavy-runners-mlqbj-runner-277w5 to aks-heavy-22317745-vmss000002
